         13818570 function calls (13376631 primitive calls) in 83.127 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2096    0.024    0.000    0.285    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:2559(get_tick_space)
     2701    0.032    0.000    0.281    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:574(_draw_paths_with_artist_properties)
     4415    0.080    0.000    0.280    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:671(recache)
    31087    0.022    0.000    0.277    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:906(copy)
        1    0.000    0.000    0.275    0.275 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\main.py:7(__init__)
        1    0.000    0.000    0.275    0.275 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\GUI.py:19(__init__)
    47780    0.030    0.000    0.275    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1792(transform)
4816/2408    0.027    0.000    0.269    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2378(frozen)
27978/23254    0.020    0.000    0.267    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\contextlib.py:112(__enter__)
      676    0.023    0.000    0.262    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_base.py:3005(_update_title_position)
     2373    0.008    0.000    0.261    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\ticker.py:721(set_locs)
    75332    0.110    0.000    0.255    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1899(__init__)
       11    0.000    0.000    0.253    0.023 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:714(on_segment_click)
    31439    0.019    0.000    0.245    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:656(__eq__)
27978/23254    0.027    0.000    0.244    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\contextlib.py:121(__exit__)
    22345    0.044    0.000    0.242    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1843(frozen)
    31903    0.052    0.000    0.241    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
     4469    0.015    0.000    0.240    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_agg.py:249(_prepare_font)
     3172    0.007    0.000    0.238    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_agg.py:94(draw_path)
      277    0.004    0.000    0.238    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_mathtext.py:675(__init__)
     2096    0.020    0.000    0.236    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:2802(get_tick_space)
16241/16202    0.013    0.000    0.236    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_base.py:850(viewLim)
157792/94914    0.043    0.000    0.235    0.000 {built-in method builtins.hash}
16913/16874    0.027    0.000    0.232    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_base.py:836(_unstale_viewLim)
     1742    0.012    0.000    0.229    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:651(union)
    44136    0.118    0.000    0.228    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:759(__init__)
    10122    0.006    0.000    0.228    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1209(_internal_update)
     3172    0.203    0.000    0.227    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    10254    0.056    0.000    0.226    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1173(_update_props)
    48497    0.059    0.000    0.222    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1859(transform_affine)
    15098    0.015    0.000    0.221    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:805(from_bounds)
12810/12809    0.012    0.000    0.217    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:2310(getter)
    44/25    0.000    0.000    0.206    0.008 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\functools.py:949(__get__)
        1    0.001    0.001    0.202    0.202 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:23(__init__)
     1490    0.007    0.000    0.198    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\widgets.py:523(_update)
     3817    0.013    0.000    0.190    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:924(get_bbox)
     1348    0.013    0.000    0.187    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_base.py:1874(apply_aspect)
        1    0.000    0.000    0.183    0.183 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:4628(series)
        1    0.003    0.003    0.183    0.183 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:5817(_series_ome)
   214051    0.078    0.000    0.181    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\__init__.py:748(__getitem__)
    18921    0.017    0.000    0.180    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\_core\fromnumeric.py:214(reshape)
      304    0.004    0.000    0.179    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\widgets.py:556(set_val)
     4469    0.019    0.000    0.177    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1308(_find_fonts_by_props)
