         5335225 function calls (5159150 primitive calls) in 139.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8464    0.020    0.000    0.127    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1843(frozen)
        1    0.000    0.000    0.127    0.127 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\data_viewer.py:265(generate_graphs)
        2    0.000    0.000    0.127    0.063 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\graph_viewer.py:163(process_to_graph)
     4996    0.008    0.000    0.122    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:302(xmin)
      148    0.003    0.000    0.122    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\spines.py:142(get_window_extent)
        1    0.000    0.000    0.116    0.116 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:5836(load_pages)
        1    0.004    0.004    0.116    0.116 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:7696(_load)
       42    0.079    0.002    0.115    0.003 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:356(contrast_brightness_threshold)
      851    0.005    0.000    0.113    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_agg.py:186(draw_text)
        1    0.000    0.000    0.109    0.109 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:2243(__init__)
        1    0.109    0.109    0.109    0.109 {built-in method _tkinter.create}
20092/16688    0.008    0.000    0.106    0.000 {built-in method builtins.next}
30167/28488    0.013    0.000    0.104    0.000 {method 'view' of 'numpy.ndarray' objects}
      422    0.005    0.000    0.102    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1533(get_minorticklocs)
     4610    0.014    0.000    0.102    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:814(from_extents)
        1    0.001    0.001    0.101    0.101 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:23(__init__)
