11202292 function calls (10803815 primitive calls) in 198.083 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.202    0.202 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\_mathtext.py:1974(__init__)
     2884    0.004    0.000    0.202    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\markers.py:220(__init__)
    61232    0.073    0.000    0.199    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:69(_wrapreduction)
    22894    0.024    0.000    0.198    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1340(__add__)
12307/12160    0.011    0.000    0.197    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:895(viewLim)
        1    0.000    0.000    0.195    0.195 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\tifffile\tifffile.py:4611(series)
        1    0.007    0.007    0.195    0.195 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\tifffile\tifffile.py:5801(_series_ome)
     4513    0.005    0.000    0.194    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1468(__array__)
28573/28571    0.026    0.000    0.190    0.000 {method 'view' of 'numpy.ndarray' objects}
12503/12356    0.043    0.000    0.190    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:881(_unstale_viewLim)
   552/95    0.001    0.000    0.189    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:4641(parseImpl)
     2884    0.011    0.000    0.188    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\markers.py:299(_set_marker)
   454/70    0.002    0.000    0.188    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:4371(parseImpl)
      884    0.002    0.000    0.186    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\patches.py:633(draw)
   504/60    0.001    0.000    0.185    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:5579(parseImpl)
   195/53    0.003    0.000    0.185    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2438(_update_label_position)
     1526    0.015    0.000    0.184    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2580(get_tick_space)
    18898    0.012    0.000    0.184    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:961(copy)
